# > host: RA(deg) dec(deg) Ks_mag rstar(rsun) mstar(msun) teff(K) log_g metallicity(dex)
# planet: T14(h) rplanet(rearth) mplanet(mearth) semi-major_axis(AU) period(d) t_eq(K) is_min_mass
>G 196-3: 151.0884754 50.3861806 7.199 nan nan nan nan nan
 G 196-3 b: nan nan 8263.539 350.0000 nan nan 0
>G 264-012: 326.6719598 66.8038480 7.986 0.300 0.300 3326.0 4.85 0.10
 G 264-012 b: nan nan 2.500 0.0228 2.30538 581.9 1
 G 264-012 c: nan nan 3.750 0.0525 8.05180 383.4 1
>G 9-40: 134.7188514 21.0747961 9.190 0.300 0.300 3395.0 4.84 -0.07
 G 9-40 b: 1.693 1.900 4.000 0.0418 5.74600 438.6 0
>GJ 1002: 1.6764641 -7.5462123 7.439 0.140 0.120 3024.0 5.10 -0.25
 GJ 1002 b: nan nan 1.080 0.0457 10.34650 255.2 1
 GJ 1002 c: nan nan 1.360 0.0738 21.20200 200.8 1
>GJ 1061: 54.0032486 -44.5143104 6.610 0.160 0.120 2953.0 nan -0.08
 GJ 1061 b: nan nan 1.370 0.0210 3.20400 393.0 1
 GJ 1061 c: nan nan 1.740 0.0350 6.68900 304.5 1
 GJ 1061 d: nan nan 1.640 0.0540 13.03100 245.1 1
>GJ 1132: 153.7090696 -47.1549358 8.322 0.220 0.190 3229.0 5.04 -0.17
 GJ 1132 b: 0.766 1.192 1.837 0.0157 1.62893 582.9 0
 GJ 1132 c: nan nan 2.640 0.0476 8.92900 331.2 1
>GJ 1148: 175.4326081 42.7515862 6.822 0.360 0.340 3287.0 4.87 0.16
 GJ 1148 b: nan nan 96.700 0.1660 41.38000 233.4 1
 GJ 1148 c: nan nan 68.060 0.9120 532.58000 99.6 1
>GJ 1151: 177.7304866 48.3732334 7.637 0.180 0.160 3280.0 5.09 -0.12
 GJ 1151 c: nan nan 10.620 0.5714 389.70000 88.8 1
>GJ 1214: 258.8313991 4.9606795 8.782 0.220 0.180 3101.0 5.03 0.24
 GJ 1214 b: 0.870 2.733 8.410 0.0150 1.58040 571.7 0
>GJ 1252: 306.9286462 -56.4622865 7.915 0.390 0.380 3458.0 4.89 0.10
 GJ 1252 b: 0.724 1.193 1.320 0.0091 0.51823 1088.9 0
>GJ 1265: 333.4324675 -17.6870623 8.115 0.190 0.180 3236.0 5.09 -0.04
 GJ 1265 b: nan nan 7.400 0.0260 3.65110 421.8 1
>GJ 143: 51.7501882 -63.5001660 5.375 0.690 0.730 4640.0 4.61 0.00
 GJ 143 b: 3.230 2.610 22.700 0.1915 35.61253 424.7 0
 HD 21749 c: 2.515 0.892 3.700 0.0695 7.78993 705.0 0
>GJ 15 A: 4.6126677 44.0247296 4.018 0.380 0.380 3607.0 4.87 -0.34
 GJ 15 A b: nan nan 3.030 0.0720 11.44070 399.6 1
 GJ 15 A c: nan nan 36.000 5.4000 7600.00000 46.1 1
>GJ 160.2: 61.6454173 -20.8564724 6.702 nan 0.690 4347.0 nan nan
 GJ 160.2 b: nan nan 10.200 0.0530 5.23540 nan 1
>GJ 163: 62.3228353 -53.3711768 7.135 nan 0.400 nan nan nan
 GJ 163 b: nan nan 10.600 0.0607 8.63182 nan 1
 GJ 163 c: nan nan 6.800 0.1254 25.63058 nan 1
 GJ 163 d: nan nan 29.400 1.0304 603.95116 nan 1
>GJ 179: 73.0245495 6.4752347 6.942 0.380 0.360 3370.0 4.83 0.30
 GJ 179 b: nan nan 260.610 2.4100 2288.00000 64.5 1
>GJ 180: 73.4600970 -17.7761940 6.598 nan 0.430 3371.0 nan nan
 GJ 180 b: nan nan 6.490 0.0920 17.13300 nan 1
 GJ 180 c: nan nan 6.400 0.1290 24.32900 nan 1
 GJ 180 d: nan nan 7.560 0.3090 106.30000 nan 1
>GJ 2030: 50.8237604 -7.7950429 4.417 nan 0.960 nan nan nan
 GJ 2030 b: nan nan 4.767 0.0340 2.38129 nan 1
 GJ 2030 c: nan nan 4069.157 16.7610 25533.11353 nan 0
>GJ 2056: 108.0194945 -24.8921008 6.890 nan 0.620 nan nan nan
 GJ 2056 b: nan nan 16.200 0.2830 69.97100 nan 1
>GJ 229: 92.6435993 -21.8677233 4.166 nan 0.510 nan nan nan
 GJ 229 A c: nan nan 8.581 0.3840 121.93268 nan 1
 GJ 229 b: nan nan 14.938 1.0860 579.47495 nan 1
>GJ 238: 98.4548810 -58.5250316 7.030 0.430 0.420 3485.0 4.85 0.15
 GJ 238 b: 1.239 0.566 nan 0.0212 1.74470 756.3 0
>GJ 251: 103.7002499 33.2664632 5.275 0.360 0.360 3451.0 4.96 -0.03
 GJ 251 b: nan nan 4.000 0.0818 14.23800 349.1 1
>GJ 27.1: 9.9980016 -44.2541679 7.394 nan 0.530 3542.0 nan nan
 GJ 27.1 b: nan nan 13.000 0.1010 15.81900 nan 1
>GJ 273: 111.8520910 5.2258070 4.857 0.290 0.290 3382.0 nan 0.09
 GJ 273 b: nan nan 2.890 0.0911 18.64980 291.0 1
 GJ 273 c: nan nan 1.180 0.0365 4.72340 459.9 1
>GJ 3021: 4.0634323 -79.8514218 4.859 0.900 0.900 5540.0 4.70 0.10
 GJ 3021 b: nan nan 1071.040 0.4900 133.71000 362.0 1
>GJ 3082: 18.6432425 -53.9407751 6.966 nan 0.470 nan nan nan
 GJ 3082 b: nan nan 8.200 0.0790 11.94900 nan 1
>GJ 3090: 20.4384281 -46.7147234 7.294 0.520 0.520 3556.0 4.73 -0.06
 GJ 3090 b: 1.281 2.130 3.340 0.0316 2.85311 695.0 0
>GJ 3138: 32.2977385 -16.3392495 nan 0.500 0.680 3717.0 nan -0.30
 GJ 3138 b: nan nan 1.780 0.0197 1.22003 903.0 1
 GJ 3138 c: nan nan 4.180 0.0570 5.97400 530.9 1
 GJ 3138 d: nan nan 10.500 0.6980 257.80000 151.7 1
>GJ 317: 130.2445254 -23.4528090 7.028 0.419 0.420 3492.7 4.82 0.30
 GJ 317 b: nan nan 557.100 1.1510 695.66000 101.7 1
 GJ 317 c: nan nan 522.500 5.2300 6739.32300 47.7 1
>GJ 3222: 50.8972464 -40.0762325 4.767 nan 0.890 nan nan nan
 GJ 3222 b: nan nan 11.442 0.0910 10.66669 nan 1
>GJ 328: 133.7819507 1.5420011 6.352 0.630 0.650 3897.0 4.64 -0.06
 GJ 328 b: nan nan 797.749 4.1100 3771.00000 73.6 1
 GJ 328 c: nan nan 21.400 0.6570 241.80000 184.0 1
>GJ 3293: 67.1484425 -25.1713396 7.486 0.400 0.420 3466.0 nan 0.02
 GJ 3293 b: nan nan 23.540 0.1434 30.59870 279.1 1
 GJ 3293 c: nan nan 21.090 0.3618 122.61960 175.7 1
 GJ 3293 d: nan nan 7.600 0.1939 48.13450 240.0 1
 GJ 3293 e: nan nan 3.280 0.0821 13.25430 369.0 1
>GJ 3323: 75.4868824 -6.9485133 6.736 0.120 0.160 3159.0 nan -0.27
 GJ 3323 b: nan nan 2.020 0.0328 5.36360 291.3 1
 GJ 3323 c: nan nan 2.310 0.1264 40.54000 148.4 1
>GJ 3341: 78.9471415 -31.2948458 7.733 0.440 0.470 3526.0 nan -0.09
 GJ 3341 b: nan nan 6.600 0.0890 14.20700 378.0 1
>GJ 338 B: 138.5916722 52.6835211 4.136 0.580 0.640 4014.0 4.68 -0.03
 GJ 338 B b: nan nan 10.600 0.1420 24.42200 391.2 1
>GJ 3470: 119.7735021 15.3912090 7.989 0.550 0.540 3600.0 4.70 0.20
 GJ 3470 b: 1.918 4.570 13.900 0.0355 3.33665 683.3 0
>GJ 3473: 120.5936065 3.3371629 8.829 0.360 0.360 3347.0 4.81 0.11
 GJ 3473 b: 0.950 1.264 1.860 0.0159 1.19800 768.2 0
 GJ 3473 c: nan nan 7.410 0.0876 15.50900 327.2 1
>GJ 3512: 130.3316616 59.4918364 8.668 0.140 0.120 3081.0 nan -0.07
 GJ 3512 b: nan nan 146.201 0.3370 203.69000 95.8 1
 GJ 3512 c: nan nan 63.566 1.2920 1599.60000 48.9 1
>GJ 357: 144.0074644 -21.6650634 6.475 0.340 0.340 3505.0 4.94 -0.12
 GJ 357 b: 1.291 1.200 1.840 0.0360 3.93060 519.4 0
 GJ 357 c: nan nan 3.400 0.0610 9.12470 399.0 1
 GJ 357 d: nan nan 6.100 0.2040 55.66100 218.2 1
>GJ 3634: 164.6433493 -31.1443383 7.470 0.430 0.450 nan nan nan
 GJ 3634 b: nan nan 8.400 0.0287 2.64561 nan 0
>GJ 367: 146.1214640 -45.7790165 5.780 0.460 0.460 3522.0 4.78 -0.01
 GJ 367 b: 0.629 0.699 0.633 0.0071 0.32192 1368.0 0
 GJ 367 c: nan nan 4.130 0.0771 11.53010 414.8 1
 GJ 367 d: nan nan 6.030 0.1597 34.36900 288.2 1
>GJ 3779: 200.7335358 24.4639425 7.957 0.280 0.270 3324.0 5.05 0.00
 GJ 3779 b: nan nan 8.000 0.0260 3.02320 526.0 1
>GJ 3929: 239.5775678 35.4081141 7.869 0.320 0.310 3384.0 4.89 -0.02
 GJ 3929 b: 1.190 1.090 1.750 0.0252 2.61624 581.5 0
 GJ 3929 c: nan nan 5.710 0.0810 15.04000 324.3 1
>GJ 393: 157.2288672 0.8378485 5.311 0.430 0.430 3579.0 4.88 -0.09
 GJ 393 b: nan nan 1.710 0.0540 7.02679 486.9 1
>GJ 3942: 242.2645452 52.9441443 6.331 0.610 0.630 3867.0 4.65 -0.04
 GJ 3942 b: nan nan 7.140 0.0608 6.90500 590.6 1
>GJ 3988: 255.8503747 51.4089795 7.921 0.200 0.180 3273.0 4.92 -0.12
 GJ 3988 b: nan nan 3.690 0.0405 6.94420 350.7 1
>GJ 3998: 259.0020507 11.0561751 6.816 0.490 0.500 3722.0 4.77 -0.16
 GJ 3998 b: nan nan 2.470 0.0290 2.64977 737.7 1
 GJ 3998 c: nan nan 6.260 0.0890 13.74000 421.1 1
>GJ 411: 165.8344710 35.9723170 3.501 0.370 0.390 3719.0 4.89 -0.36
 GJ 411 b: nan nan 2.690 0.0788 12.93940 388.6 1
 HD 95735 c: nan nan 13.600 2.9400 2946.00000 63.6 1
>GJ 414 A: 167.7745044 30.4451688 4.979 0.680 0.650 4120.0 4.65 0.24
 GJ 414 A b: nan 2.630 7.600 0.2324 50.80000 339.8 1
 GJ 414 A c: nan 8.400 53.830 1.4000 749.83000 138.5 1
>GJ 422: 168.9810458 -57.5425629 7.035 nan 0.350 3323.0 nan nan
 GJ 422 b: nan nan 11.070 0.1110 20.12900 nan 1
>GJ 4276: 336.3221454 59.4125030 7.887 0.410 0.410 3387.0 4.97 0.12
 GJ 4276 b: nan nan 16.570 0.0820 13.35200 365.2 1
>GJ 433: 173.8619194 -32.5436302 5.623 0.517 0.480 3461.0 4.81 -0.17
 GJ 433 b: nan nan 6.043 0.0620 7.37050 481.8 1
 GJ 433 c: nan nan 32.422 4.8190 5094.10500 54.6 1
 GJ 433 d: nan nan 5.223 0.1780 36.05900 284.3 1
>GJ 436: 175.5505363 26.7030669 6.073 0.460 0.470 3500.0 4.79 0.00
 GJ 436 b: 1.014 4.170 22.100 0.0291 2.64388 671.0 0
>GJ 463: 185.7440496 64.0324311 7.122 0.490 0.490 3540.0 4.86 nan
 GJ 463 b: nan nan 1144.182 3.5300 3448.00000 63.6 0
>GJ 480: 189.7134226 11.6950708 6.691 nan 0.450 nan nan nan
 GJ 480 b: nan nan 13.200 0.0680 9.56700 nan 1
>GJ 486: 191.9815310 9.7494181 6.362 0.320 0.310 3317.0 4.91 -0.15
 GJ 486 b: 1.016 1.289 2.770 0.0171 1.46712 691.1 0
>GJ 504: 199.1923480 9.4249781 4.033 nan 1.220 6234.0 4.60 0.28
 GJ 504 b: nan nan 1271.300 43.5000 94872.98271 nan 0
>GJ 514: 202.5040424 10.3725387 5.036 0.500 0.510 3728.0 4.76 -0.14
 GJ 514 b: nan nan 5.200 0.4220 140.43000 195.7 1
>GJ 536: 210.2597264 -2.6522901 5.683 0.500 0.520 3685.0 4.75 -0.08
 GJ 536 b: nan nan 5.360 0.0666 8.70760 486.8 1
>GJ 581: 229.8564725 -7.7226935 5.837 0.330 0.310 3396.0 4.89 -0.09
 GJ 581 b: nan nan 15.800 0.0406 5.36860 466.8 1
 GJ 581 c: nan nan 5.500 0.0721 12.91400 350.3 1
 GJ 581 e: nan nan 1.700 0.0282 3.14900 560.7 1
>GJ 625: 246.3557854 54.3033625 5.833 0.310 0.300 3499.0 4.94 -0.38
 GJ 625 b: nan nan 2.820 0.0784 14.62800 335.6 1
>GJ 649: 254.5363221 25.7419719 5.624 0.500 0.510 3734.0 4.76 -0.15
 GJ 649 b: nan nan 82.000 1.1120 600.10000 120.7 1
>GJ 667 C: 259.7510609 -34.9977651 6.036 nan 0.330 3350.0 4.69 -0.55
 GJ 667 C b: nan nan 5.680 0.0504 7.20300 nan 0
 GJ 667 C c: nan nan 3.800 0.1250 28.14000 nan 1
 GJ 667 C e: nan nan 2.700 0.2130 62.24000 nan 1
 GJ 667 C f: nan nan 2.700 0.1560 39.02600 nan 1
 GJ 667 C g: nan nan 4.600 0.5490 256.20000 nan 1
>GJ 674: 262.1700476 -46.8989826 4.855 nan 0.350 3600.0 nan -0.28
 GJ 674 b: nan nan 11.090 0.0390 4.69380 nan 1
>GJ 676 A: 262.5448903 -51.6377777 5.825 0.658 0.630 3734.0 4.62 0.08
 GJ 676 A b: nan nan 1840.862 1.7350 1051.44521 110.9 0
 GJ 676 A c: nan nan 4288.141 9.7260 13921.42302 46.8 0
 GJ 676 A d: nan nan 3.814 0.0390 3.60076 739.5 1
 GJ 676 A e: nan nan 6.674 0.1810 35.47358 343.2 1
>GJ 680: 263.8072214 -48.6788427 5.829 nan 0.460 nan nan nan
 GJ 680 b: nan nan 7977.493 10.1380 17281.66514 nan 0
>GJ 682: 264.2610245 -44.3232519 5.606 nan 0.270 3028.0 nan nan
 GJ 682 b: nan nan 4.400 0.0800 17.47800 nan 1
 GJ 682 c: nan nan 8.700 0.1760 57.32000 nan 1
>GJ 685: 263.8960378 61.6793482 6.066 0.540 0.550 3816.0 4.72 -0.15
 GJ 685 b: nan nan 9.000 0.1344 24.16000 368.8 1
>GJ 687: 264.1041731 68.3336741 4.548 0.412 0.400 3340.0 4.82 0.15
 GJ 687 b: nan nan 17.200 0.1630 38.14200 256.1 1
 GJ 687 c: nan nan 16.000 1.1650 727.56200 95.8 1
>GJ 720 A: 278.8294172 45.7456038 6.082 0.560 0.570 3837.0 4.71 -0.14
 GJ 720 A b: nan nan 13.640 0.1190 19.46600 401.4 1
>GJ 724: 280.2383650 -13.3824997 6.546 0.520 0.530 3799.0 4.88 -0.02
 GJ 724 b: nan nan 10.750 0.0469 5.10128 610.3 1
>GJ 740: 284.4997178 5.9028670 5.357 0.560 0.580 3913.0 4.68 0.08
 GJ 740 b: nan nan 2.960 0.0290 2.37756 829.2 1
>GJ 806: 311.2697002 44.5002351 6.533 0.410 0.410 3600.0 4.98 -0.28
 GJ 806 b: 0.930 1.331 1.900 0.0141 0.92632 937.4 0
 GJ 806 c: nan nan 5.800 0.0523 6.64064 486.0 1
>GJ 832: 323.3912616 -49.0125169 4.501 0.522 0.450 3657.0 4.70 -0.70
 GJ 832 b: nan nan 314.650 3.7000 3853.00000 66.3 0
>GJ 849: 332.4229938 -4.6408317 5.594 0.450 0.450 3467.0 4.80 0.09
 GJ 849 b: nan nan 283.821 2.3200 1925.31000 73.6 1
 GJ 849 c: nan nan 314.650 4.9500 5990.00000 50.4 1
>GJ 86: 32.6224785 -50.8209945 4.125 0.770 0.930 5182.0 4.63 -0.22
 GJ 86 b: nan nan 1404.809 0.1100 15.76491 661.1 1
>GJ 876: 343.3239737 -14.2665958 5.010 0.300 0.320 3293.7 4.87 0.21
 GJ 876 b: nan nan 723.223 0.2083 61.11660 190.6 0
 GJ 876 c: nan nan 226.985 0.1296 30.08810 241.7 0
 GJ 876 d: nan nan 6.830 0.0208 1.93778 603.1 0
 GJ 876 e: nan nan 14.600 0.3343 124.26000 150.5 0
>GJ 887: 346.4668274 -35.8530693 nan 0.470 0.490 3688.0 4.78 -0.06
 GJ 887 b: nan nan 4.200 0.0680 9.26200 467.5 1
 GJ 887 c: nan nan 7.600 0.1200 21.78900 352.0 1
>GJ 896 A: 352.9700384 19.9370011 5.326 nan 0.440 nan nan nan
 GJ 896 A b: nan nan 718.292 0.6397 284.39000 nan 0
>GJ 900 A: 353.7526177 1.6055211 6.044 nan 1.080 nan nan -0.63
 GJ 900 b: nan nan 3496.112 12000.0000 462007021.34017 nan 0
>GJ 9066: 30.0588307 13.0443172 6.648 0.160 0.150 3154.0 5.01 -0.13
 GJ 9066 c: nan nan 66.744 0.8800 771.36000 64.9 1
>GJ 9404: 184.8472095 28.3827126 6.796 nan 0.620 nan nan nan
 GJ 9404 b: nan nan 11.900 0.0943 13.45860 nan 1
>GJ 96: 35.5624031 47.8802075 5.554 nan 0.600 3785.0 nan 0.14
 GJ 96 b: nan nan 19.660 0.2910 73.94000 nan 1
>GJ 9689: 303.4677310 13.3888921 7.468 0.570 0.590 3836.0 4.69 0.05
 GJ 9689 b: nan nan 9.650 0.1139 18.27000 413.8 1
>GJ 9714: 315.4141767 -32.5250028 6.221 nan 0.670 nan nan nan
 GJ 9714 b: nan nan 2988.541 12.3190 19240.75467 nan 0
>GJ 9827: 351.7717763 -1.2853435 7.193 0.580 0.620 4236.0 4.72 -0.29
 GJ 9827 b: 1.630 1.440 4.280 0.0189 1.20897 1131.5 0
 GJ 9827 c: 2.190 1.130 1.860 0.0395 3.64810 782.7 0
 GJ 9827 d: 1.600 1.980 3.020 0.0530 6.20183 675.7 0
>GPX-1: 38.3691648 56.0257080 11.181 1.560 1.680 7000.0 4.27 0.35
 GPX-1 b: 2.090 16.477 6261.220 0.0338 1.74458 2293.2 0
>GQ Lup: 237.3003643 -35.6515055 7.096 1.264 0.700 4360.0 nan nan
 GQ Lup b: nan 33.600 6356.000 100.0000 436555.60087 23.6 0
>GSC 06214-00210: 245.4776921 -20.7193398 9.152 0.900 0.900 4200.0 4.37 nan
 GSC 06214-00210 b: nan 20.176 5000.000 320.0000 2203902.09237 10.7 0
>GU Psc: 18.1464850 17.0650029 9.345 nan 0.330 nan nan 0.10
 GU Psc b: nan 14.179 3591.300 2000.0000 56869133.09968 nan 0
>Gaia-1: 90.6436658 -0.5771099 11.269 0.950 0.950 5470.0 nan nan
 Gaia-1 b: nan 13.776 533.952 0.0405 3.05252 1278.0 0
>Gaia-2: 110.7353308 67.2526565 9.742 1.060 1.000 5720.0 4.37 nan
 Gaia-2 b: 2.721 14.818 259.666 0.0467 3.69152 1314.1 0
>Gaia22dkvL: 151.7690000 -66.1808889 nan nan 1.150 nan nan nan
 Gaia22dkvL b: nan nan 187.837 1.4000 564.19823 nan 0
>Gl 378: 150.5865513 48.0824515 6.160 0.560 0.560 3879.0 nan 0.06
 Gl 378 b: nan nan 13.020 0.0394 3.82200 704.9 1
>Gl 49: 15.6687321 62.3454386 5.371 0.510 0.520 3805.0 4.69 0.13
 Gl 49 b: nan nan 5.630 0.0905 13.85080 435.6 1
>Gl 686: 264.4764878 18.5959509 5.572 0.430 0.430 3656.0 4.87 -0.23
 Gl 686 b: nan nan 6.624 0.0910 15.53000 383.2 1
>Gliese 12: 3.9579137 13.5576175 7.807 0.260 0.240 3296.0 5.21 -0.32
 Gliese 12 b: 1.200 0.958 3.870 0.0668 12.76141 313.6 0
>HAT-P-1: 344.4453632 38.6749190 8.858 1.170 1.150 5980.0 4.36 0.13
 HAT-P-1 b: 2.850 14.785 166.861 0.0556 4.46530 1322.7 0
>HAT-P-11: 297.7101763 48.0818635 7.009 0.760 0.860 4780.0 4.56 0.31
 HAT-P-11 b: 2.356 4.901 25.000 0.0532 4.88780 871.2 0
 HAT-P-11 c: nan nan 507.000 4.1244 3299.00000 98.9 0
>HAT-P-12: 209.3886452 43.4933100 10.108 0.700 0.730 4650.0 4.61 -0.29
 HAT-P-12 b: 2.338 10.749 67.059 0.0384 3.21306 957.3 0
>HAT-P-13: 129.8823772 47.3519076 8.975 1.558 1.220 5653.0 4.13 0.41
 HAT-P-13 b: 3.228 14.258 270.462 0.0427 2.91625 1646.7 0
 HAT-P-13 c: nan nan 4538.421 1.2212 446.27000 307.9 1
>HAT-P-14: 260.1161719 38.2421682 8.851 1.820 2.650 6600.0 4.25 0.11
 HAT-P-14 b: 2.189 15.917 1093.335 0.0753 4.62767 1564.4 0
>HAT-P-15: 66.2481420 39.4606020 9.641 1.070 1.000 5568.0 4.38 0.22
 HAT-P-15 b: 5.551 11.882 616.590 0.0958 10.86350 897.4 0
>HAT-P-16: 9.5730343 42.4630961 9.553 1.240 1.220 6158.0 4.34 0.17
 HAT-P-16 b: 3.062 14.448 1332.605 0.0413 2.77596 1627.1 0
>HAT-P-17: 324.5359781 30.4881882 8.544 0.870 0.990 5246.0 4.53 0.00
 HAT-P-17 b: 4.242 11.769 184.341 0.0919 10.33852 778.2 0
 HAT-P-17 c: nan nan 1080.600 5.6000 5584.00000 99.7 1
>HAT-P-18: 256.3463760 33.0123251 10.234 0.750 0.770 4803.0 4.57 0.10
 HAT-P-18 b: 2.714 11.153 62.610 0.0559 5.50802 848.3 0
>HAT-P-19: 9.5165832 34.7114025 10.546 0.770 0.810 4962.0 4.57 0.17
 HAT-P-19 b: 2.837 11.299 88.038 0.0460 4.00878 979.0 0
>HAT-P-2: 245.1514324 41.0479601 7.603 1.390 1.330 6380.0 4.09 0.18
 HAT-P-2 b: 4.132 10.840 2739.695 0.0681 5.63352 1389.5 1
 HAT-P-2 c: nan nan 3400.764 8.9640 8500.00000 121.1 0
>HAT-P-20: 111.9164295 24.3361185 8.601 0.690 0.760 4595.0 4.63 0.35
 HAT-P-20 b: 1.848 9.718 2302.899 0.0361 2.87532 968.7 0
>HAT-P-21: 171.2749348 41.0280207 10.111 1.210 1.240 5588.0 4.33 0.01
 HAT-P-21 b: 3.567 12.442 1547.832 0.0543 4.12448 1272.0 0
>HAT-P-22: 155.6814593 50.1287115 7.837 1.110 1.130 5302.0 4.36 0.24
 HAT-P-22 b: 2.870 12.890 785.040 0.0443 3.21222 1279.9 0
>HAT-P-23: 306.1239076 16.7621462 10.791 1.200 1.130 5905.0 4.33 0.15
 HAT-P-23 b: 2.179 15.334 664.237 0.0232 1.21288 2047.9 0
>HAT-P-24: 108.8251171 14.2626064 10.543 1.380 1.370 6373.0 4.27 -0.16
 HAT-P-24 b: 3.694 14.572 238.373 0.0488 3.35524 1633.6 0
>HAT-P-25: 48.4354731 25.1973548 10.815 0.920 1.010 5519.0 4.52 0.29
 HAT-P-25 b: 2.813 12.722 180.845 0.0466 3.65282 1182.5 0
>HAT-P-26: 213.1565508 4.0594175 9.581 0.870 1.120 5079.0 4.56 -0.04
 HAT-P-26 b: 2.517 7.062 22.248 0.0530 4.23452 992.6 0
>HAT-P-27: 222.7673221 5.9473626 10.109 0.860 0.920 5316.0 4.53 0.30
 HAT-P-27 b: 1.680 11.430 197.050 0.0400 3.03958 1188.6 0
>HAT-P-28: 13.0009159 34.7284020 11.104 1.100 1.020 5680.0 4.36 0.12
 HAT-P-28 b: 3.218 13.585 198.953 0.0434 3.25721 1378.9 0
>HAT-P-29: 33.1310921 51.7787754 10.297 1.300 1.450 6087.0 4.34 0.21
 HAT-P-29 b: 3.377 13.115 279.690 0.0710 5.72319 1256.2 0
>HAT-P-3: 206.0940142 48.0285650 9.448 0.870 1.060 5185.0 4.56 0.27
 HAT-P-3 b: 2.059 10.536 206.589 0.0407 2.89970 1156.5 0
>HAT-P-30: 123.9498431 5.8368669 9.151 1.310 1.550 6304.0 4.36 0.13
 HAT-P-30 b: 2.129 16.141 263.799 0.0453 2.81060 1635.3 0
>HAT-P-31: 271.5376722 26.4266061 10.083 1.390 1.310 6065.0 4.26 0.15
 HAT-P-31 b: 5.139 12.218 721.474 0.0627 5.00542 1377.0 0
>HAT-P-32: 31.0427614 46.6878512 9.990 1.370 1.130 6001.0 4.22 -0.16
 HAT-P-32 b: 3.120 22.194 216.124 0.0340 2.15001 1837.7 0
>HAT-P-33: 113.1842383 33.8350214 10.004 1.790 1.820 6446.0 4.15 0.05
 HAT-P-33 b: 4.414 20.737 292.404 0.0547 3.47447 1778.2 0
>HAT-P-34: 303.1954355 18.1047776 9.247 1.530 1.390 6442.0 4.24 0.22
 HAT-P-34 b: 3.492 13.417 1058.374 0.0677 5.45265 1476.3 0
>HAT-P-35: 123.2507030 4.7870288 11.030 1.440 1.240 6096.0 4.22 0.11
 HAT-P-35 b: 3.923 14.930 335.628 0.0498 3.64671 1581.0 0
>HAT-P-36: 188.2662048 44.9153672 10.603 1.040 1.030 5620.0 4.42 0.25
 HAT-P-36 b: 2.232 14.314 587.413 0.0241 1.32735 1780.2 0
>HAT-P-37: 284.2960393 51.2691212 11.667 0.880 0.930 5500.0 4.54 0.03
 HAT-P-37 b: 2.330 13.204 371.528 0.0379 2.79744 1278.0 0
>HAT-P-38: 35.3834942 32.2460441 10.501 0.920 0.890 5330.0 4.37 0.06
 HAT-P-38 b: 3.041 9.247 84.857 0.0523 4.64038 1078.0 0
>HAT-P-39: 113.7582526 17.8300283 11.157 1.620 1.400 6430.0 4.07 0.19
 HAT-P-39 b: 4.188 17.609 190.372 0.0509 3.54387 1749.2 0
>HAT-P-4: 229.9912200 36.2295450 9.770 1.580 1.248 5860.0 4.14 0.24
 HAT-P-4 b: 4.260 14.280 213.255 0.0444 3.05654 1686.0 0
>HAT-P-40: 335.5129199 45.4573423 10.009 1.940 1.030 6080.0 3.93 0.22
 HAT-P-40 b: 6.137 17.038 152.558 0.0536 4.45724 1764.0 0
>HAT-P-41: 297.3226523 4.6724124 9.728 2.050 2.560 6390.0 4.14 0.21
 HAT-P-41 b: 4.090 22.978 378.218 0.0520 2.69405 1935.5 0
>HAT-P-42: 135.3443583 6.0970828 10.626 1.530 1.180 5743.0 4.14 0.27
 HAT-P-42 b: 4.034 14.348 331.801 0.0575 4.64188 1428.5 0
>HAT-P-43: 128.9256885 10.2065866 11.764 1.080 1.030 5693.0 4.38 0.20
 HAT-P-43 b: 3.250 13.630 210.395 0.0444 3.33264 1353.9 0
>HAT-P-44: 213.1438604 47.0147826 11.275 0.950 0.940 5295.0 4.46 0.33
 HAT-P-44 b: 3.125 13.922 111.871 0.0507 4.30122 1105.2 0
 HAT-P-44 c: 12.072 nan 1271.300 1.7520 872.20000 188.0 1
>HAT-P-45: 274.3732697 -3.3810594 10.201 1.320 1.260 6330.0 4.30 0.07
 HAT-P-45 b: 3.446 15.984 283.492 0.0452 3.12899 1649.5 0
>HAT-P-46: 270.4441831 -2.9709800 9.924 1.400 1.280 6120.0 4.25 0.30
 HAT-P-46 b: 3.098 14.392 156.684 0.0577 4.46313 1453.7 0
>HAT-P-49: 305.4413294 26.6926759 9.346 2.060 2.220 6820.0 4.10 0.07
 HAT-P-49 b: 4.109 17.822 699.226 0.0493 2.69155 2125.0 0
>HAT-P-5: 274.4055335 36.6214617 10.481 1.120 1.040 5960.0 4.37 0.24
 HAT-P-5 b: 2.921 13.563 311.473 0.0392 2.78849 1535.8 0
>HAT-P-50: 118.0634379 12.1393474 10.500 1.700 1.270 6280.0 4.07 -0.18
 HAT-P-50 b: 3.674 14.437 429.070 0.0453 3.12201 1855.1 0
>HAT-P-51: 21.0651251 32.8107000 11.614 0.990 0.960 5453.0 4.43 0.30
 HAT-P-51 b: 3.367 13.507 97.573 0.0504 4.21802 1165.2 0
>HAT-P-52: 42.7217412 29.0222492 11.621 0.890 0.890 5131.0 4.48 0.28
 HAT-P-52 b: 2.407 11.310 259.985 0.0369 2.75360 1214.5 0
>HAT-P-53: 21.8711012 38.9681137 12.100 1.210 1.090 5956.0 4.31 0.00
